,name,department,rating,total_ratings,would take again,difficulty
932,Ari Kang,Finance,2.6,4 ratings,100%,2.3
933,Daniel Hamermersh,Economics,0,0 ratings,N/A,0
934,John Bullock,Government,5,9 ratings,100%,3.3
935,Joseph Moore,Writing,4.9,6 ratings,100%,2.5
936,Timothy Perutz,Mathematics,3.5,21 ratings,58%,3.6
937,Jeffrey Danciger,Mathematics,4.2,26 ratings,80%,2.7
938,Stephen Marek,Engineering,2.8,4 ratings,75%,4.2
939,Alexandria Garcia,Marine Sciences,5,5 ratings,100%,1
940,Andrew Henderson,Business,0,0 ratings,N/A,0
941,Elizabeth Picherit,Writing,4.8,2 ratings,100%,2.5
942,Marnie Ritchie,Communication,4.7,3 ratings,N/A,3
943,Theresa O'Halloran,Biology,4.8,7 ratings,100%,2.7
944,Martin Cox,Communication,5,1 ratings,N/A,4
945,Stephen Bright,Psychology,2.8,24 ratings,43%,2.5
946,Megan Hyska,Philosophy,3.3,3 ratings,67%,4.7
947,Benjamin Hardee,Government,3.7,9 ratings,72%,3
948,Marvin Whiteley,Biology,4.9,3 ratings,100%,3
949,Scott Hanna,Fine Arts,2.7,6 ratings,75%,1.8
950,Tinisha Hancock,Biology,3.9,20 ratings,100%,3.2
951,Jason Goldstein,Art History,5,33 ratings,100%,1.8
952,Daina Berry,History,4.9,5 ratings,100%,2.8
953,Alexandro Ramirez,Theater,0,0 ratings,N/A,0
954,Suzanne Scott,Film,3.9,8 ratings,63%,3.3
955,Elizabeth Pomeroy,Social Work,4.8,8 ratings,100%,1.4
956,Lizhen Lin,Mathematics,2.8,2 ratings,N/A,3
957,Eric Korman,Mathematics,3.9,3 ratings,100%,3.3
958,Elisa Valentini,Italian,5,2 ratings,100%,3
959,Creighton Moench,Music,3,7 ratings,100%,3.1
960,Michael Pesenson,Ethnic Studies,3.4,6 ratings,60%,2.5
961,Per Urlaub,Ethnic Studies,4,4 ratings,100%,3.3
962,Erika Grajeda,Sociology,3,1 ratings,N/A,4
963,Jeremy Lupo,Philosophy,2.5,1 ratings,N/A,4
964,Ockhee Bego,Social Science,4,7 ratings,60%,2
965,yan zhang,Information Science,3,1 ratings,N/A,2
966,Robert Gilbert,Civil Engineering,4.7,3 ratings,100%,3.7
967,Ayelet Lushkov,Humanities,4.9,3 ratings,100%,2.7
968,Martin Tombari,Education,4.2,14 ratings,84%,2.3
969,Tan Bui,Engineering,4,1 ratings,100%,2
970,Elizabeth Doss,Theater,0,0 ratings,N/A,0
971,Chung-Hao Lee,Computer Science,5,1 ratings,N/A,2
972,Seth Frei,Communication,4.9,4 ratings,100%,2.8
973,Marina Potoplyak,Languages,5,8 ratings,100%,2.2
974,Yekaterina Cotey,Languages,4.5,1 ratings,N/A,2
975,Shu Chan,Asian Studies,1.3,3 ratings,N/A,3
976,John Huehnergard,Middle Eastern Studies,4,1 ratings,N/A,3
977,Daniela Meireles,Spanish Portuguese,4,2 ratings,100%,2.5
978,Heath Burton,Biology,5,1 ratings,100%,3
979,Yanzhen Chen,Management Info Systems,1,1 ratings,0%,3
980,Michael Rivera,Government,4.7,3 ratings,100%,2.3
981,Deb Streusand,English,4.3,5 ratings,75%,3.2
982,Amanda Schaeffer,Law,0,0 ratings,N/A,0
983,david simmons,Special Education,0,0 ratings,N/A,0
984,Ece Turnator,History,0,0 ratings,N/A,0
985,Igor Siddiqui,Architecture,5,1 ratings,100%,2
986,Angela Newell,Mathematics,1.2,6 ratings,0%,3.8
987,Cyndy Karras,Information Science,3.5,1 ratings,N/A,3
988,Andreas Christopoulos,Finance,1.5,1 ratings,N/A,4
989,Lorinc Redei,Political Science,4,1 ratings,N/A,3
990,Sheila Olmstead,Economics,5,1 ratings,N/A,1
991,Erin Lentz,Social Science,4.5,1 ratings,N/A,2
992,Philip Bobbitt,Law,3,1 ratings,N/A,3
993,Kenneth Flamm,Economics,0,0 ratings,N/A,0
994,Michael Mauk,Biology,4.5,10 ratings,92%,3.3
995,Jeannette Vaught,American Studies,4.7,7 ratings,86%,3.6
996,Vijay Mahajan,Marketing,0,0 ratings,100%,0
997,Omise'eke Tinsley,Women's Studies,3.5,4 ratings,100%,2.5
998,David Herrin,Biology,2.3,15 ratings,30%,3.3
999,Kate Catterall,Design,1.3,3 ratings,0%,4
1000,Marshall Gorges,Writing,4.2,4 ratings,100%,3
1001,DeWayne Perry,Engineering,1,1 ratings,0%,2
1002,Robert Oxford,Writing,3,1 ratings,100%,3
1003,Altina Hoti,Italian,4.6,9 ratings,100%,3.7
1004,Pablo Postigo Olssen,Spanish Portuguese,4.5,1 ratings,N/A,3
1005,Anthony Ives,Government,4.3,4 ratings,50%,4
1006,Eileen Nehme,Health Science,3.5,1 ratings,N/A,3
1007,Joshua Barbour,Communication,4.4,4 ratings,67%,3.5
1008,Pamela Paxton,Sociology,4.2,4 ratings,100%,2.8
1009,David Simmins,Languages,0,0 ratings,N/A,0
1010,Sara Paul,Dance,5,1 ratings,N/A,4
1011,Philip Cannata,Computer Science,2,5 ratings,0%,3.2
1012,Katie Logan,Women's Studies,5,1 ratings,N/A,4
1013,Martha Selby,Women's Studies,4.2,3 ratings,100%,4
1014,Jin Choi,Business,5,1 ratings,N/A,5
1015,David Platt,Accounting,4,3 ratings,67%,4.7
1016,Maytal Saar-Tsechansky,Management Info Systems,3.8,2 ratings,100%,3
1017,Antonella Fattore-Olsen,Italian,5,2 ratings,100%,3
1018,Tshepo Cher,History,0,0 ratings,N/A,0
1019,Tshepo Chery,History,5,7 ratings,100%,2.8
1020,William GBLERKPOR,Anthropology,0,0 ratings,N/A,0
1021,Melody Chatelle,Communication,0,0 ratings,N/A,0
1022,Joshua Baer,Computer Science,5,1 ratings,100%,4
1023,Joshua Sears,Writing,5,3 ratings,100%,2.3
1024,Scott Blackshire,Theater,2.8,21 ratings,60%,3.2
1025,Janice Todd,Kinesiology Health,3.5,1 ratings,N/A,3
1026,Daniel FitzPatrick,Education,5,7 ratings,100%,3
1027,Michael Drew,Biology,0,0 ratings,N/A,0
1028,Jesi Egan,English,5,2 ratings,100%,2
1029,Todd Hutner,Education,0,0 ratings,N/A,0
1030,Jonathan Drake,Philosophy,4.8,5 ratings,100%,3.2
1031,Ted Cruz,Law,0,0 ratings,N/A,0
1032,Michelle Mott,Sociology,3,3 ratings,0%,3
1033,Chad Brock,Biology,4,1 ratings,N/A,2
1034,David Sayers,Music,5,1 ratings,100%,2
1035,James Walker,Design,4.8,4 ratings,100%,3.8
1036,Anthony Webster,Anthropology,4,7 ratings,75%,3.3
1037,Blanca Chumbes,Education,1,1 ratings,N/A,5
1038,Elissa Marek,American Studies,3,3 ratings,100%,2.7
1039,Barbara Harlow,English,4.8,2 ratings,100%,1.5
1040,Edwin Roman-Ramirez,Spanish Portuguese,4,3 ratings,67%,3
1041,Gail Chovan,Design,4.5,1 ratings,N/A,2
1042,Mary Anne Taylor,Communication,4.7,7 ratings,100%,3.6
1043,Viorica Teodorescu,Linguistics,2,4 ratings,25%,4.3
1044,Jacqueline Henkel,Writing,4,2 ratings,100%,4
1045,Rebecca Young Brim,Biology,3.8,2 ratings,100%,2.5
1046,Shefali Patil,Management,4.5,4 ratings,100%,2.5
1047,Alessandro Previtero,Finance,2,1 ratings,N/A,2
1048,Yue Wang,Accounting,2.5,1 ratings,N/A,1
1049,Margaret Syverson,Writing,0,0 ratings,N/A,0
1050,Karen Wickett,International Studies,3,1 ratings,N/A,5
1051,Lance Hayden,International Studies,0,0 ratings,N/A,0
1052,Camilla Hsieh,Asian Studies,4.6,8 ratings,75%,3.9
1053,John Williams,Marketing,3,1 ratings,0%,3
1054,Jeffrey Boruszak,English,0,0 ratings,N/A,0
1055,Yukie Aida,Asian Studies,5,1 ratings,100%,4
1056,Wen Wen,Business,3.5,2 ratings,100%,3
1057,Alexander Lorenz,Languages,5,3 ratings,100%,3.7
1058,Thomas Schatz,Film,4.7,3 ratings,100%,3
1059,Donna Rolin,Nursing,1,2 ratings,0%,4
1060,Mitchell Pryor,Engineering,4.3,3 ratings,100%,3.3
1061,Natasa Pavlovic,Mathematics,3.7,3 ratings,67%,3.3
1062,Dwight Steward,Economics,4.5,8 ratings,88%,2.3
1063,Jennifer Miller,Geography,3.1,7 ratings,63%,3.6
1064,LaTashia Kiel,Nursing,1,1 ratings,0%,3
1065,Lubjana Beshaj,Mathematics,3.9,15 ratings,80%,3.5
1066,Kavita Radhakrishnan,Nursing,0,0 ratings,N/A,0
1067,Sarah Sipe,Chemistry,0,0 ratings,N/A,0
1068,Richard Meyer,Biology,1,1 ratings,0%,5
1069,Lauren Hanson,Art History,3.8,5 ratings,60%,4
1070,Donald Davis,Asian Studies,4.5,2 ratings,50%,3.5
1071,Dustin Tahmahkera,Anthropology,5,2 ratings,100%,4
1072,Ari Adut,Sociology,4,8 ratings,100%,2.3
1073,Chandler Stolp,Social Science,1,2 ratings,0%,4
1074,Jacob Abraham,Engineering,2.8,6 ratings,50%,4
1075,Alexander Hudson,Government,5,8 ratings,100%,2.5
1076,Dan Sutherland,Fine Arts,0,0 ratings,100%,0
1077,Brandon DiNunno,Physics,5,1 ratings,100%,5
1078,Adria Frizzi,Italian,0,0 ratings,N/A,0
1079,Joan Hughes,Education,3.7,3 ratings,75%,2.3
1080,Philippa Levine,History,4.5,2 ratings,100%,2.5
1081,Pamela Wilder,Science,1.5,4 ratings,25%,3.3
1082,Pablo Postigo Olsson,Spanish Portuguese,3.5,8 ratings,63%,3.7
1083,Renee Angel,Sociology,0,0 ratings,N/A,0
1084,Daniel Wasserman,Engineering,4.8,5 ratings,100%,4
1085,Andrea Thomaz,Engineering,1,1 ratings,0%,3
1086,Meiru Che,Engineering,0,0 ratings,N/A,0
1087,Fanny Macé,French Italian,5,2 ratings,100%,3
1088,Stephanie Craven,Classics,3.6,9 ratings,85%,2.4
1089,Megan Case,Religion,1,1 ratings,0%,1
1090,Jonathan Arambula,Chemistry,2.7,27 ratings,41%,3.8
1091,Melissa Andrews,Psychology,5,1 ratings,100%,2
1092,Anita Lantham,Biology,0,0 ratings,100%,0
1093,Megan Neely,Sociology,4.5,2 ratings,100%,2.5
1094,Daniel Stockli,Geology,4.6,5 ratings,100%,2.8
1095,Rebecca North,Psychology,4.5,2 ratings,50%,3.5
1096,Karen Royall,English,5,2 ratings,100%,2.5
1097,Myranda Harris,Music,1,4 ratings,0%,5
1098,Michael Cramer,Advertising,3,1 ratings,100%,2
1099,Alexis Scott,Theater,0,0 ratings,N/A,0
1100,Matthew Sherman,Languages,5,1 ratings,100%,3
1101,Christine Gwillim,Theater,2.5,23 ratings,35%,3.4
1102,Abiodun Oluyomi,Health Science,3,3 ratings,34%,3.3
1103,Tim Andeen,Physics,3.5,10 ratings,60%,4
1104,Olivia Mena,American Studies,3.6,10 ratings,50%,3.5
1105,Stephanie Rivaux,Social Work,2.5,2 ratings,75%,3.5
1106,Ramesh Rajagopalan,Business,0,0 ratings,N/A,0
1107,Natasa Pavlovich,Mathematics,4.6,5 ratings,100%,3
1108,Valerie Sirenko,Writing,0,0 ratings,N/A,0
1109,Meghan Forbes,Languages,5,1 ratings,100%,2
1110,Kenneth Miller,Government,5,2 ratings,100%,3
1111,Jarrod Lewis-Peacock,Psychology,3,5 ratings,50%,3.2
1112,Christopher Bell,Geology,3,1 ratings,0%,4
1113,Karina High,French Italian,5,5 ratings,100%,3.8
1114,Rachel Wise,Literature,5,1 ratings,100%,3
1115,Ronald Angel,Sociology,2.8,5 ratings,0%,3.2
1116,Jo Shea,English,3,1 ratings,0%,3
1117,Myoungkyu Lee,Engineering,2,1 ratings,0%,3
1118,Livia Eberlin,Chemistry,5,1 ratings,100%,3
1119,Paul MacDonald,Biology,2.1,18 ratings,28%,4.5
1120,Robert Davidson,Accounting,3.3,3 ratings,67%,3.3
1121,Clare Brock,Government,4.5,2 ratings,100%,2.5
1122,Catherine Riegle-Crumb,Education,5,1 ratings,100%,3
1123,Jennifer Hailey,Communication,0,0 ratings,N/A,0
1124,Christopher Adejumo,Art History,0,0 ratings,N/A,0
1125,Fink Manfred,Physics,3.1,8 ratings,63%,2.3
1126,Kristopher Wilson,Journalism,3.4,5 ratings,60%,2.4
1127,Giovanni Baltz,Anthropology,4,1 ratings,100%,2
1128,Danny Law,Linguistics,4.3,3 ratings,100%,2.7
1129,Toni Falbo,Psychology,4.2,5 ratings,67%,1.8
1130,Melissa Dalton,Communication,4.2,6 ratings,72%,3.3
1131,Patricia Carter,Nursing,4.4,30 ratings,97%,1.5
1132,Paul Robbins,Mathematics,4.1,13 ratings,70%,2.7
1133,Stanley Roux,Biology,4,4 ratings,75%,3
1134,Maxence Leconte,French Italian,5,4 ratings,100%,3
1135,Max Leconte,French Italian,4.5,2 ratings,100%,3
1136,Minkah Makalani,History,3.8,4 ratings,50%,3.3
1137,John Wallingford,Biology,0,0 ratings,N/A,0
1138,MIllie Harrison,Communication,1,2 ratings,0%,4
1139,Hubert Humphrey,Government,3,1 ratings,0%,4
1140,Tyler Arp,Marine Sciences,5,1 ratings,100%,3
1141,J. Hazzard,Communication,0,0 ratings,N/A,0
1142,Brendan Apfeld,Government,4.6,11 ratings,91%,2.5
1143,Eugenio Miravete,Economics,2.7,3 ratings,34%,3.7
1144,John Turci - Escobar,Music,5,1 ratings,100%,1
1145,Stephen Russell,Humanities,5,1 ratings,100%,3
1146,Keith Friedman,Engineering,4.5,2 ratings,100%,1
1147,Bryce Dalbey,Philosophy,3.4,8 ratings,50%,2.7
1148,Joe Tafoya,Government,4.8,22 ratings,96%,2.9
1149,Zaccaria Fulton,English,4.5,2 ratings,100%,3
1150,Kerri Harmon,Education,5,1 ratings,100%,1
1151,Brad Saad,Philosophy,2,3 ratings,0%,3.3
1152,Emily Harring,English,1.1,8 ratings,0%,4.5
1153,Guy Cole,Mathematics,3.6,5 ratings,80%,2.6
1154,Aater Suleman,Engineering,4.3,4 ratings,100%,4.2
1155,Amy Imes,Science,0,0 ratings,N/A,0
1156,Valerie Martinez,History,5,1 ratings,100%,4
1157,Rachel Union,Social Work,0,0 ratings,N/A,0
1158,Elena Kravchenko,Religion,0,0 ratings,N/A,0
1159,Michael Holleran,Architecture,4.5,2 ratings,100%,3
1160,Kristin Neff,Psychology,5,1 ratings,100%,2
1161,Ellen Bartel,Theater,0,0 ratings,N/A,0
1162,Jorge Perez,Spanish Portuguese,4.8,7 ratings,100%,2.6
1163,Nicole Schrag,English,3,2 ratings,50%,2
1164,Rachel Moyer-Trimyer,Counseling,4.2,6 ratings,84%,1.7
1165,James Erskine,Physics,1.3,15 ratings,7%,4.4
1166,Robert van de Geijn,Computer Science,4.5,8 ratings,88%,2.4
1167,Yingda Zhai,Management Info Systems,4.7,3 ratings,100%,3
1168,Pete Kunze,Film,4.9,15 ratings,100%,2.5
1169,Karen Schlag,Communication,4.2,5 ratings,80%,2
1170,Corey McZeal,Sociology,4.8,13 ratings,100%,1.7
1171,John Benjamin,Languages,0,0 ratings,N/A,0
1172,Angelina Locker,Anthropology,4.3,4 ratings,100%,2.3
1173,Tony Speier,Law,5,1 ratings,100%,1
1174,Caitlin O'Neil,French Italian,5,1 ratings,100%,3
1175,Sohyun Choi,Communication,2,2 ratings,0%,5
1176,Marilyn Felkner,Kinesiology Health,0,0 ratings,N/A,0
1177,Martin Lockerd,English,4,3 ratings,100%,3.3
1178,Vicki Packheiser,Social Work,5,2 ratings,100%,2
1179,Cortney McEniry,Theater,5,1 ratings,100%,3
1180,Geraldine Heng,English,5,5 ratings,100%,3.4
1181,Danna Gurari,Information Science,5,2 ratings,100%,3
1182,Kevin Parme,Music,3.9,15 ratings,74%,2.7
1183,Robert Oshana,Computer Science,2,1 ratings,0%,5
1184,Boyoung Kim,Languages,0,0 ratings,N/A,0
1185,Trent Thurman,Management,5,5 ratings,100%,2.6
1186,Yu Chen,Sociology,4,1 ratings,100%,3
1187,Phillip Cantu,Sociology,0,0 ratings,N/A,0
1188,Stephen Dadugblor,Writing,0,0 ratings,N/A,0
1189,Emily Harring,Writing,0,0 ratings,N/A,0
1190,Amrita Mishra,Writing,0,0 ratings,N/A,0
1191,Chienyn Chi,Writing,3,1 ratings,100%,3
1192,Kayla Shearer,Writing,0,0 ratings,N/A,0
1193,Anushka Jasraj,Writing,0,0 ratings,N/A,0
1194,Jeremy Goheen,Writing,4.3,3 ratings,100%,2.7
1195,Gabriella Rodriguez,Writing,5,1 ratings,100%,2
1196,Kristin Canfield,Writing,3,2 ratings,50%,3
1197,Erica Brozovsky,Writing,5,1 ratings,100%,3
1198,Peter Voss,Writing,4.8,4 ratings,100%,2
1199,Delia Byrnes,Writing,4.3,3 ratings,100%,2.7
1200,Daniel Bolnick,Biology,0,0 ratings,N/A,0
1201,Christina Bambrick,Government,4.3,3 ratings,100%,3.3
1202,Jonathan Brown,History,3.2,5 ratings,60%,3
1203,Keffrelyn Brown,Ethnic Studies,0,0 ratings,N/A,0
1204,Robin Williams,Art History,4,1 ratings,100%,2
1205,Anne McCreary,French Italian,5,7 ratings,100%,3.3
1206,Eva Dessein,French Italian,4,1 ratings,100%,3
1207,Gaëlle Bouaziz,French Italian,4,1 ratings,100%,3
1208,Olla Al-Shalchi,Middle Eastern Studies,5,5 ratings,100%,4
1209,Jonathan Roeltgen,Science,2.3,3 ratings,0%,2.7
1210,Tamara Bell,Communication,4.3,6 ratings,72%,3.2
1211,Pittman McGehee,Psychology,5,1 ratings,100%,2
1212,Parshuram Hotkar,Business,5,1 ratings,100%,4
1213,Laura Altuzar,Mathematics,2.7,26 ratings,45%,3.9
1214,Marie-Catherine Bearden,French Italian,4.4,5 ratings,80%,2.8
1215,Linda Faircloth,Linguistics,0,0 ratings,N/A,0
1216,Shantel Buggs,Sociology,5,1 ratings,100%,2
1217,Christian Hilchey,Ethnic Studies,5,4 ratings,100%,2.8
1218,Sarah Murphy,Human Dev Family Sciences,3.5,2 ratings,50%,4.5
1219,Paola D'Amora,Italian,5,1 ratings,100%,3
1220,Cristian Paredes,Sociology,1,2 ratings,0%,4
1221,Shane Whalley,Social Work,4.3,9 ratings,90%,1.6
1222,Keith Leisner,English,0,0 ratings,N/A,0
1223,Wilson Geisler,Psychology,3,3 ratings,34%,3.3
1224,Prabhudev Konana,Management Info Systems,4.5,4 ratings,75%,4
1225,Kimberlee Korte,Human Dev Family Sciences,0,0 ratings,N/A,0
1226,Becky Thompson,Spanish Portuguese,0,0 ratings,N/A,0
1227,Marta Zarzycka,Women's Studies,0,0 ratings,N/A,0
1228,John Durst,Fine Arts,5,2 ratings,100%,3
1229,Zachary Williamson,Education,3.7,6 ratings,84%,1.2
1230,Victoria DeFrancesco Soto,Government,5,1 ratings,100%,3
1231,Keith Syska,Business,1,1 ratings,0%,3
1232,Zenzi Griffin,Psychology,2,2 ratings,0%,3
1233,David Roche,English,5,1 ratings,100%,4
1234,Severine Letalleur,English,0,0 ratings,N/A,0
1235,Alejandro Omidsalar,English,4,2 ratings,50%,3
1236,Joshua Kopin,American Studies,4.5,2 ratings,100%,2.5
1237,David Johnson,Biology,0,0 ratings,N/A,0
1238,David Donaldson,Journalism,3.5,4 ratings,50%,3
1239,Ana Todd,Nursing,5,1 ratings,100%,1
1240,Luisa Nardini,Music,4,1 ratings,100%,2
1241,Hal Alper,Engineering,3.7,14 ratings,67%,4.6
1242,Steven Vokes,Biology,3.3,3 ratings,67%,3.7
1243,Richard Brown,Biology,0,0 ratings,N/A,0
1244,Carey Pulverman,Psychology,5,1 ratings,100%,3
1245,Dan Li,Advertising,4,3 ratings,100%,3
1246,Sharon Rush,Pharmacy,4,2 ratings,89%,3
1247,Cristina Cabello,Spanish Portuguese,5,1 ratings,100%,3
1248,Pilar Zazueta,History,5,1 ratings,100%,2
1249,Jonathan Kaplan,Religion,0,0 ratings,N/A,0
1250,Blerta Xhemalce,Biology,3.3,3 ratings,50%,4
1251,Amy Hyne-Sutherland,Asian Studies,4.8,4 ratings,100%,3.3
1252,Casey Dougal,Finance,3,4 ratings,50%,3.2
1253,Jason Escandell,English,4.5,2 ratings,100%,2.5
1254,Michael Amoruso,Religion,5,1 ratings,100%,2
1255,David Bryan,Computer Science,4,1 ratings,100%,4
1256,Thomas Tegtmeyer,Mathematics,4.8,5 ratings,100%,1.6
1257,Nick Hamel,Theater,2.2,5 ratings,20%,3.6
1258,Miguel Campinho,Music,5,1 ratings,100%,3
1259,Aaron Curry,Theater,5,1 ratings,100%,4
1260,Yunyi Shen,Mathematics,2,27 ratings,34%,3.7
1261,Mary Neuberger,History,0,0 ratings,N/A,0
1262,Pamela Powell,Mathematics,5,4 ratings,100%,2.3
1263,Angela Nonaka,Social Work,3.7,3 ratings,67%,3
1264,Andrew Ingram,Philosophy,4.5,2 ratings,100%,1.5
1265,Nitya Nayar,Economics,3,2 ratings,50%,4
1266,Richard Murphy,Economics,5,1 ratings,100%,2
1267,Angeline Scheinbaum,Advertising,2.5,2 ratings,50%,3.5
1268,Laura Rojeski,Education,4.7,7 ratings,100%,2.1
1269,Benjamin Schmidt,Mathematics,4.9,17 ratings,100%,2.7
1270,Rajashri Srinivasan,Marketing,0,0 ratings,N/A,0
1271,Kapil Jain,Marketing,0,0 ratings,N/A,0
1272,Tatiana Encheva,Marketing,0,0 ratings,N/A,0
1273,Andrew Potter,Physics,1.7,6 ratings,17%,3.3
1274,Erich Schneider,Engineering,0,0 ratings,N/A,0
1275,Jim Enelow,Government,4,1 ratings,100%,3
1276,Rachel Lim,Advertising,4.3,3 ratings,100%,2.3
1277,elizabeth pomeroy,Psychology,0,0 ratings,N/A,0
1278,Kyle Bruner,Biology,0,0 ratings,N/A,0
1279,Xavier Livermon,Women's Studies,4.5,2 ratings,100%,1.5
1280,Sri Jonnalagadda,Asian Studies,5,2 ratings,100%,2.5
1281,William Schweigert,Art History,5,2 ratings,100%,2.5
1282,Cesar Salgado,Spanish Portuguese,3.3,4 ratings,70%,3.5
1283,Ronghuo Zheng,Accounting,4.3,3 ratings,84%,2
1284,Jessie Raye Bauer,Psychology,0,0 ratings,N/A,0
1285,Ricardo Velasco,Languages,2,3 ratings,0%,3.7
1286,Ramon Mendoza,History,4.8,21 ratings,86%,4.2
1287,Alec Arellano,Government,2.8,4 ratings,50%,3
1288,Omar Awapara,Government,4.3,7 ratings,100%,2.6
1289,Luke Perez,Government,2.9,7 ratings,58%,3.5
1290,Thomas Bell,Government,4.3,3 ratings,100%,3
1291,Timothy Piper,Film,5,6 ratings,100%,2.8
1292,Seth Schwaiger,Fine Arts,4.8,4 ratings,100%,2.2
1293,Joshua Urich,Religion,5,1 ratings,100%,4
1294,Anne Marsh,French & Italian,3,1 ratings,0%,3
1295,Louis Harrison,Physical Education,4.8,7 ratings,100%,1.6
1296,Xuan Qin,Music,3.5,2 ratings,50%,1.5
1297,Sequoia Maner,Literature,5,1 ratings,100%,3
1298,Amit Bhasin,Civil Engineering,5,2 ratings,100%,3.5
1299,Jeeyun Oh,Advertising,4,2 ratings,50%,3
1300,So Young Lee,Advertising,3,1 ratings,0%,3
1301,Aloysious Martinich,Philosophy,3,5 ratings,40%,2.6
1302,Phoebe Long,Education,5,3 ratings,100%,2
1303,Lingzi Zhong,Communication,4,3 ratings,67%,3.7
1304,Henry Quillen,Government,0,0 ratings,N/A,0
1305,Mary Gerwels,Education,5,3 ratings,100%,3
1306,Jennifer Hensley,Nursing,4.8,8 ratings,100%,1.3
1307,Denise Ekberg,Education,4.7,3 ratings,67%,2
1308,Zhengyu Zhang,Communication,5,1 ratings,100%,4
1309,Angela Richards,Psychology,4.4,5 ratings,80%,1.2
1310,Yaguang Zhu,Communication,0,0 ratings,N/A,0
1311,Xiaobo Lu,Government,4.4,5 ratings,91%,4
1312,Amanda Gray,Mexican American Studies,2,2 ratings,0%,4
1313,Cindy-Lou Holland,Writing,5,2 ratings,100%,3
1314,Edwin Whitewolf,American Studies,5,2 ratings,100%,2.5
1315,John Gonzaacutelez,English,0,0 ratings,N/A,0
1316,John Gonzalez,English,3,4 ratings,50%,4
1317,Andreas Matouschek,Chemistry,5,9 ratings,100%,2.5
1318,Matteo Vestrucci,Mathematics,5,1 ratings,100%,2
1319,Dananjaya Appulage,Chemistry,3,5 ratings,67%,3.8
1320,Fred Jenga,Communication,3.3,3 ratings,67%,2.3
1321,Lynn Kirby,Education,0,0 ratings,100%,0
1322,Li Kang,Information Science,3,1 ratings,0%,3
1323,Brice Ezell,English,4.3,3 ratings,67%,3.7
1324,Haley Tucker,Biology,3,1 ratings,0%,3
1325,Howard Ochman,Biology,0,0 ratings,100%,0
1326,Angela Richards,Education,5,1 ratings,100%,1
1327,Rita Jhang,Communication,5,6 ratings,100%,3.2
1328,Alejandra De Angulo Sorian,Nutrition,4.3,21 ratings,96%,1.7
1329,Michael Peterson,Management,5,1 ratings,100%,3
1330,Elizabeth Welch,Art History,4.3,3 ratings,100%,2.3
1331,Ashley Hurst,Psychology,4,2 ratings,100%,2
1332,Zach Sharp,English,2,1 ratings,0%,4
1333,Lawrence Gilbert,Biology,2.5,2 ratings,0%,4
1334,Ulrich Mueller,Biology,3.2,5 ratings,82%,3.6
1335,Travis Laduc,Biology,5,1 ratings,100%,3
1336,Jaquelin Dudley,Biology,3,2 ratings,0%,4.5
1337,Emin Ulug,Biology,5,1 ratings,100%,3
1338,Bryan Davis,Biology,0,0 ratings,N/A,0
1339,Raisika Harshey,Biology,2.3,4 ratings,60%,4.8
1340,Dorothy Overbey,Dance,0,0 ratings,N/A,0
1341,Susan Somers-Willett,Women's Studies,5,2 ratings,100%,2
1342,Stella Offner,Astronomy,3.7,12 ratings,67%,2.8
1343,Mehmet Ayvaci,Management & Info Systems,1.9,9 ratings,12%,3.3
1344,Susan Rather,Art History,2.7,7 ratings,43%,3.7
1345,Joel Neibert,Mathematics,0,0 ratings,N/A,0
1346,Jennifer Wilks,English,4,2 ratings,50%,3.5
1347,Minou Arjomand,English,5,2 ratings,100%,3.5
1348,Yongfeng Liu,Asian Studies,4,3 ratings,84%,4.3
1349,Anant Balakrishnan,Business,1,1 ratings,75%,5
1350,Prudhvi Potluri,Engineering,0,0 ratings,N/A,0
1351,Philipp Krahenbuhl,Computer Science,0,0 ratings,34%,0
1352,Michael Findley,Government,5,2 ratings,100%,2.5
1353,Caroline Barta,Writing,2.5,2 ratings,0%,3.5
1354,Richard Morrisett,Pharmacy,0,0 ratings,N/A,0
1355,Selena Dickey,Film,5,4 ratings,100%,2
1356,Paul Miller,Government,0,0 ratings,N/A,0
1357,Stephanie Murphy,Management,0,0 ratings,N/A,0
1358,Steven Kornguth,First Year Experience,5,5 ratings,100%,1.4
1359,Ryan Fitzgerald,Religion,5,1 ratings,100%,2
1360,Abhra Sarkar,Mathematics,4,1 ratings,100%,3
1361,Adam Hockenberry,Mathematics,0,0 ratings,N/A,0
1362,Nicole McLagan,Kinesiology amp Health,4.5,2 ratings,75%,1
1363,Marvin Bendele,Human Dev & Family Sciences,1.5,4 ratings,0%,3
1364,Brooks Protzmann,Design,0,0 ratings,N/A,0
1365,Michael Butterworth,Communication,5,3 ratings,100%,2
1366,Minh Van-Dinh,Graphic Arts,0,0 ratings,N/A,0
1367,Shawn Smith,Communication,4.3,3 ratings,50%,3.3
1368,Thorsten Becker,Geology,3,4 ratings,25%,4
1369,Celina Nichols,Education,2.5,2 ratings,50%,4
1370,Tim Rogers,Fine Arts,5,1 ratings,100%,2
1371,Paula Newberg,Government,5,1 ratings,100%,5
1372,Glenn Masada,Engineering,0,0 ratings,N/A,0
1373,John Deigh,Philosophy,3,1 ratings,100%,3
1374,Anastasia Zervou,Economics,5,1 ratings,100%,4
1375,alejandra DE ANGULO SORIANO,Nutrition,5,1 ratings,100%,3
1376,Caryn Conley,Management amp Info Systems,3,4 ratings,50%,3.3
1377,Suzanne Pence,Music,1,1 ratings,50%,5
